P. Size,N Ants,N Iters,Exec T,Best f,Mean f,Sigma f,N Test
49,1,10,0.3951,3.13593,3.48001,0.14596,100
49,2,10,0.43529,3.0718,3.37907,0.119945,100
49,3,10,0.52065,3.04034,3.33306,0.106543,100
49,4,10,0.60561,3.07294,3.28248,0.0928194,100
49,5,10,0.69239,3.01596,3.28905,0.0917682,100
49,6,10,0.78099,3.01558,3.25263,0.101415,100
49,7,10,0.8632,3.01984,3.23074,0.0917124,100
49,8,10,0.95807,2.94447,3.22592,0.102018,100
49,9,10,1.04297,3.02285,3.23111,0.0894772,100
49,10,10,1.13425,2.87206,3.21887,0.0853872,100
49,11,10,1.21361,2.94655,3.20126,0.0895269,100
49,12,10,1.31203,2.97091,3.18167,0.0889275,100
49,13,10,1.39362,2.94862,3.17876,0.0944674,100
49,14,10,1.48023,2.94801,3.17965,0.0913421,100
49,15,10,1.57127,2.88823,3.17059,0.093045,100
49,16,10,1.66113,2.98653,3.16995,0.0786032,100
49,17,10,1.74297,2.99689,3.18191,0.0679256,100
49,18,10,1.83618,2.99666,3.16363,0.0701269,100
49,19,10,1.92718,2.90751,3.16187,0.0839724,100
49,20,10,2.01421,2.91603,3.1549,0.0784069,100
49,40,10,3.7951,2.9191,3.10495,0.0726846,100
49,60,10,5.50945,2.87031,3.0797,0.0702745,100
49,80,10,7.43352,2.91427,3.07611,0.056647,100
49,100,10,9.20227,2.84457,3.0576,0.0727866,100
49,120,10,10.6525,2.87434,3.04502,0.0630308,100
49,140,10,12.3754,2.84472,3.03369,0.0679102,100
49,160,10,14.1839,2.88312,3.02771,0.0552434,100
49,180,10,15.8799,2.89239,3.03339,0.0486318,100
49,200,10,17.627,2.84101,3.02449,0.0541733,100
49,220,10,19.2471,2.8882,3.02032,0.053221,100
49,240,10,20.9722,2.84031,3.01162,0.0622522,100
49,260,10,22.9761,2.87794,3.00869,0.0499318,100
49,280,10,25.2521,2.8948,3.0062,0.046789,100
49,300,10,26.4508,2.86743,2.9991,0.05383,100
49,320,10,28.1944,2.88685,3.00502,0.0535342,100
49,340,10,29.604,2.80992,2.99722,0.0545206,100
49,360,10,31.5401,2.87041,2.98629,0.0529908,100
49,380,10,33.3637,2.83578,2.99174,0.0515572,100
49,400,10,35.0066,2.83179,2.98502,0.051874,100
49,420,10,36.4901,2.87012,2.98896,0.0454572,100
49,440,10,38.2256,2.88559,2.98245,0.0405715,100
49,460,10,39.8747,2.85197,2.98769,0.0490021,100
49,480,10,41.9391,2.83464,2.97541,0.0504139,100
49,500,10,43.6208,2.84787,2.98457,0.0475756,100
49,520,10,45.4383,2.80493,2.97793,0.049798,100
49,540,10,47.2456,2.82886,2.97521,0.0408907,100
49,560,10,48.9875,2.88529,2.98167,0.0439266,100
49,580,10,50.5211,2.83187,2.96997,0.050046,100
49,600,10,52.7717,2.82669,2.96667,0.0516406,100
49,620,10,54.1431,2.8177,2.96925,0.0427416,100
49,640,10,55.7347,2.81839,2.96464,0.0532189,100
49,660,10,57.8429,2.83884,2.9727,0.0474404,100
49,680,10,59.428,2.85198,2.97206,0.0409794,100
49,700,10,60.7979,2.84626,2.97163,0.0472884,100
49,720,10,63.1119,2.81936,2.96558,0.0505041,100
49,740,10,64.5596,2.85513,2.96866,0.0429076,100
49,760,10,65.7942,2.8495,2.96175,0.0436057,100
49,780,10,67.6531,2.80594,2.96283,0.0547425,100
49,800,10,69.0843,2.82727,2.96266,0.0451808,100
49,820,10,71.2215,2.83358,2.96366,0.0461485,100
49,840,10,73.9776,2.86086,2.96415,0.0424722,100
49,860,10,75.1757,2.82424,2.94654,0.0510294,100
49,880,10,76.6045,2.83496,2.95271,0.0416827,100
49,900,10,78.9474,2.79963,2.95197,0.0423859,100
49,920,10,79.5211,2.79467,2.95202,0.0466225,100
49,940,10,82.5375,2.82265,2.95348,0.0462317,100
49,960,10,83.8809,2.83756,2.94872,0.0429362,100
49,980,10,85.6873,2.82211,2.94415,0.0510336,100
49,1000,10,87.512,2.77936,2.95659,0.0467989,100
