P. Size,N Ants,N Iters,Exec T,Best f,Mean f,Sigma f,N Test
18,18,1,0.1322,27.5154,29.8645,1.03035,100
18,18,2,0.16913,27.5154,29.3101,0.924791,100
18,18,3,0.2024,27.5154,29.0719,0.790591,100
18,18,4,0.22551,27.5154,28.8865,0.671843,100
18,18,5,0.24204,27.5154,28.5996,0.710772,100
18,18,6,0.25633,27.5154,28.6285,0.679552,100
18,18,7,0.27368,27.5154,28.4606,0.615977,100
18,18,8,0.3099,27.5154,28.3657,0.585086,100
18,18,9,0.34122,27.5154,28.4766,0.610995,100
18,18,10,0.37046,27.5154,28.3799,0.658317,100
18,18,11,0.40273,27.5154,28.3049,0.620129,100
18,18,12,0.43014,27.5154,28.1338,0.563945,100
18,18,13,0.46126,27.5154,28.1939,0.576665,100
18,18,14,0.49446,27.5154,28.1684,0.573199,100
18,18,15,0.52386,27.5154,28.1471,0.590321,100
18,18,16,0.55099,27.5154,28.1277,0.519409,100
18,18,17,0.58769,27.5154,28.0963,0.50532,100
18,18,18,0.61338,27.5154,27.9878,0.472612,100
18,18,19,0.64612,27.5154,27.897,0.44632,100
18,18,20,0.67323,27.5154,27.9552,0.464376,100
18,18,40,1.2877,27.5154,27.7002,0.308922,100
18,18,60,1.87603,27.5154,27.6204,0.200804,100
18,18,80,2.48726,27.5154,27.5967,0.169601,100
18,18,100,3.10525,27.5154,27.5646,0.119754,100
18,18,120,3.70311,27.5154,27.5411,0.071598,100
18,18,140,4.31675,27.5154,27.546,0.0983295,100
18,18,160,4.91521,27.5154,27.5214,0.0345097,100
18,18,180,5.47899,27.5154,27.5194,0.0283219,100
18,18,200,6.08746,27.5154,27.5174,0.0201285,100
18,18,220,6.67031,27.5154,27.5174,0.0201285,100
18,18,240,7.26034,27.5154,27.5174,0.0201285,100
18,18,260,7.85651,27.5154,27.5174,0.0201285,100
18,18,280,8.43653,27.5154,27.5154,4.24693e-14,100
18,18,300,9.04681,27.5154,27.5154,4.26415e-14,100
18,18,320,9.63954,27.5154,27.5154,4.25383e-14,100
18,18,340,10.2043,27.5154,27.5174,0.0201285,100
18,18,360,10.8337,27.5154,27.5174,0.0201285,100
18,18,380,11.4455,27.5154,27.5154,4.25727e-14,100
18,18,400,12.0514,27.5154,27.5154,4.26759e-14,100
18,18,420,12.6324,27.5154,27.5154,4.28131e-14,100
18,18,440,13.2392,27.5154,27.5154,4.26759e-14,100
18,18,460,13.8196,27.5154,27.5154,4.27446e-14,100
18,18,480,14.4267,27.5154,27.5154,4.27788e-14,100
18,18,500,15.0122,27.5154,27.5154,4.28131e-14,100
18,18,520,15.5569,27.5154,27.5154,4.28131e-14,100
18,18,540,16.207,27.5154,27.5154,4.28131e-14,100
18,18,560,16.7078,27.5154,27.5154,4.27446e-14,100
18,18,580,17.32,27.5154,27.5154,4.28473e-14,100
18,18,600,17.8913,27.5154,27.5154,4.28131e-14,100
18,18,620,18.544,27.5154,27.5154,4.28131e-14,100
18,18,640,19.1467,27.5154,27.5154,4.28473e-14,100
18,18,660,19.7214,27.5154,27.5154,4.28473e-14,100
18,18,680,20.3853,27.5154,27.5154,4.28131e-14,100
18,18,700,20.9319,27.5154,27.5154,4.28131e-14,100
18,18,720,21.6753,27.5154,27.5154,4.28473e-14,100
18,18,740,22.2394,27.5154,27.5154,4.28473e-14,100
18,18,760,22.8173,27.5154,27.5154,4.28473e-14,100
18,18,780,23.1787,27.5154,27.5154,4.28473e-14,100
18,18,800,23.9123,27.5154,27.5154,4.28473e-14,100
18,18,820,24.6299,27.5154,27.5154,4.28473e-14,100
18,18,840,25.0895,27.5154,27.5154,4.28473e-14,100
18,18,860,25.6666,27.5154,27.5154,4.28473e-14,100
18,18,880,26.2074,27.5154,27.5154,4.28473e-14,100
18,18,900,26.7837,27.5154,27.5154,4.28473e-14,100
18,18,920,27.4414,27.5154,27.5154,4.28473e-14,100
18,18,940,28.0998,27.5154,27.5154,4.28473e-14,100
18,18,960,28.5738,27.5154,27.5154,4.28473e-14,100
18,18,980,29.3289,27.5154,27.5154,4.28473e-14,100
18,18,1000,30.0638,27.5154,27.5154,4.28473e-14,100
