N Ants,N Iters,Exec T,Best f,Mean f,Sigma f,N Test
1,5,0.1514,27.5154,32.4992,2.18322,100
2,5,0.14129,27.5154,31.0464,1.57901,100
3,5,0.14373,27.5154,30.3774,1.23706,100
4,5,0.13856,27.5154,30.0451,1.21917,100
5,5,0.1427,27.5154,29.6975,0.89227,100
6,5,0.14331,27.5154,29.508,1.0258,100
7,5,0.14594,27.5154,29.4273,1.02252,100
8,5,0.14599,27.5154,29.3479,1.03439,100
9,5,0.14837,27.5154,29.1829,0.776699,100
10,5,0.15024,27.5154,29.2436,0.854434,100
11,5,0.15029,27.5154,29.0344,0.780675,100
12,5,0.15096,27.5154,28.9473,0.768361,100
13,5,0.15821,27.5154,28.8819,0.829256,100
14,5,0.17205,27.5154,28.7129,0.695882,100
15,5,0.18728,27.5154,28.715,0.664908,100
16,5,0.19364,27.5154,28.7972,0.699047,100
17,5,0.21392,27.5154,28.9374,0.766872,100
18,5,0.21476,27.5154,28.8736,0.642356,100
19,5,0.22389,27.5154,28.7076,0.701127,100
20,5,0.23211,27.5154,28.7624,0.638539,100
40,5,0.40109,27.5154,28.3274,0.588199,100
60,5,0.57516,27.5154,28.0347,0.53593,100
80,5,0.73854,27.5154,27.9129,0.416625,100
100,5,0.90323,27.5154,27.7919,0.37847,100
150,5,1.32629,27.5154,27.6762,0.259098,100
200,5,1.74062,27.5154,27.6355,0.187375,100
250,5,2.15374,27.5154,27.58,0.13058,100
300,5,2.55194,27.5154,27.5914,0.158923,100
350,5,2.95956,27.5154,27.5451,0.103304,100
400,5,3.39762,27.5154,27.5752,0.147726,100
450,5,3.80911,27.5154,27.5455,0.093358,100
500,5,4.2178,27.5154,27.5451,0.107646,100
550,5,4.62017,27.5154,27.5194,0.0283219,100
600,5,5.01096,27.5154,27.525,0.0492646,100
650,5,5.4245,27.5154,27.5194,0.0283219,100
700,5,5.84701,27.5154,27.5194,0.0283219,100
750,5,6.2816,27.5154,27.5154,4.24347e-14,100
800,5,6.63947,27.5154,27.5154,4.24002e-14,100
850,5,7.07829,27.5154,27.5194,0.0283219,100
900,5,7.49127,27.5154,27.5154,4.23656e-14,100
950,5,7.85906,27.5154,27.5154,4.2331e-14,100
1000,5,8.31946,27.5154,27.5154,4.24347e-14,100
