'population size','tmax','program length','pc','pm','average t','max fitness','average fitness','min fitness','std','number of best solutions'
30,100,13,0.1,0.1,96.5332,0,-1.18,-3,0.622575,9
30,100,13,0.2,0.1,89.3215,0,-1.23,-3,0.597578,6
30,100,13,0.3,0.1,110.974,0,-1.22,-3,0.686731,9
30,100,13,0.4,0.1,141.38,0,-1.05,-3,0.606218,12
30,100,13,0.5,0.1,136.822,0,-1,-2,0.509902,13
30,100,13,0.6,0.1,136.52,0,-1.07,-3,0.474447,7
30,100,13,0,0.1,112.261,0,-1.23,-3,0.563116,4
30,100,13,0.1,0.2,107.972,0,-1.44,-3,0.711618,2
30,100,13,0.2,0.2,91.7468,0,-1.44,-3,0.697424,1
30,100,13,0.3,0.2,96.9634,0,-1.37,-3,0.71631,4
30,100,13,0.4,0.2,116.62,0,-1.4,-3,0.774597,7
30,100,13,0.5,0.2,104.246,0,-1.45,-3,0.726292,4
30,100,13,0.6,0.2,120.577,0,-1.44,-3,0.652993,1
30,100,13,0,0.2,106.443,0,-1.6,-3,0.787401,1
30,100,13,0.1,0.3,99.9442,-1,-1.92,-3,0.856505,0
30,100,13,0.2,0.3,133.917,0,-2.02,-3,0.848292,1
30,100,13,0.3,0.3,125.071,0,-1.74,-3,0.807713,1
30,100,13,0.4,0.3,90.8995,0,-1.92,-3,0.844748,3
30,100,13,0.5,0.3,80.1315,0,-1.79,-3,0.90879,4
30,100,13,0.6,0.3,75.478,-1,-1.85,-3,0.817007,0
30,100,13,0,0.3,83.2646,-1,-1.95,-3,0.852936,0
30,100,13,0.1,0.4,110.318,-1,-2.35,-3,0.829156,0
30,100,13,0.2,0.4,105.262,0,-2.24,-3,0.826075,1
30,100,13,0.3,0.4,85.5235,0,-2.18,-3,0.876128,1
30,100,13,0.4,0.4,80.4318,-1,-2.37,-3,0.808146,0
30,100,13,0.5,0.4,78.277,0,-2.2,-3,0.883176,2
30,100,13,0.6,0.4,83.3325,0,-2.22,-3,0.819512,1
30,100,13,0,0.4,108.906,0,-2.26,-3,0.832106,1
30,100,13,0.1,0.5,148.492,0,-2.5,-3,0.793725,1
30,100,13,0.2,0.5,106.819,-1,-2.52,-3,0.699714,0
30,100,13,0.3,0.5,126.851,-1,-2.53,-3,0.767529,0
30,100,13,0.4,0.5,96.024,-1,-2.61,-3,0.676683,0
30,100,13,0.5,0.5,85.4868,0,-2.28,-3,0.895321,1
30,100,13,0.6,0.5,154.72,-1,-2.57,-3,0.738309,0
30,100,13,0,0.5,181.658,0,-2.42,-3,0.750733,1
30,100,13,0.1,0.6,88.6128,-1,-2.61,-3,0.70562,0
30,100,13,0.2,0.6,81.8327,-1,-2.64,-4,0.728286,0
30,100,13,0.3,0.6,112.369,0,-2.5,-5,0.866025,2
30,100,13,0.4,0.6,199.694,-1,-2.64,-3,0.656049,0
30,100,13,0.5,0.6,135.52,0,-2.6,-3,0.748331,2
30,100,13,0.6,0.6,244.954,-1,-2.59,-3,0.649538,0
30,100,13,0,0.6,142.456,0,-2.62,-3,0.718053,2
30,100,13,0.1,0,81.2474,-2,-48.49,-231,56.5808,0
30,100,13,0.2,0,96.7554,-3,-34.81,-231,46.0136,0
30,100,13,0.3,0,138.311,-1,-22.24,-147,34.5676,0
30,100,13,0.4,0,116.25,-1,-9.58,-85,16.747,0
30,100,13,0.5,0,116.764,-1,-6.95,-147,17.6784,0
30,100,13,0.6,0,121.731,-1,-3.84,-9,1.87467,0
30,100,13,0,0,203.457,-2,-107.19,-325,77.2199,0
