P. Size,N Ants,N Iters,Exec T,Best f,Mean f,Sigma f,N Test
18,10,1,0.162,27.5154,30.813,1.43276,100
18,10,2,0.17373,27.5154,29.7997,1.10549,100
18,10,3,0.18534,27.5154,29.4465,0.960352,100
18,10,4,0.19447,27.5154,29.2487,0.986184,100
18,10,5,0.20374,27.5154,29.1559,0.784828,100
18,10,6,0.20892,27.5154,29.1092,0.758883,100
18,10,7,0.21029,27.5154,28.9906,0.769889,100
18,10,8,0.20218,27.5154,28.7736,0.732683,100
18,10,9,0.21333,27.5154,28.7618,0.747255,100
18,10,10,0.23271,27.5154,28.564,0.643875,100
18,10,11,0.25314,27.5154,28.5525,0.706795,100
18,10,12,0.27267,27.5154,28.6153,0.68965,100
18,10,13,0.28852,27.5154,28.5479,0.639076,100
18,10,14,0.30617,27.5154,28.4737,0.68701,100
18,10,15,0.32298,27.5154,28.4313,0.672591,100
18,10,16,0.34355,27.5154,28.4417,0.629323,100
18,10,17,0.35937,27.5154,28.4436,0.63684,100
18,10,18,0.37512,27.5154,28.4348,0.638291,100
18,10,19,0.39683,27.5154,28.2588,0.602049,100
18,10,20,0.40851,27.5154,28.1381,0.585548,100
18,10,40,0.75039,27.5154,28.081,0.448836,100
18,10,60,1.09254,27.5154,27.7916,0.346173,100
18,10,80,1.43136,27.5154,27.695,0.298988,100
18,10,100,1.76457,27.5154,27.6844,0.26063,100
18,10,120,2.10403,27.5154,27.6199,0.185129,100
18,10,140,2.44333,27.5154,27.5619,0.121631,100
18,10,160,2.79329,27.5154,27.5596,0.119633,100
18,10,180,3.12392,27.5154,27.5883,0.182946,100
18,10,200,3.46209,27.5154,27.538,0.0804525,100
18,10,220,3.80672,27.5154,27.527,0.0651746,100
18,10,240,4.14046,27.5154,27.5344,0.0765973,100
18,10,260,4.48407,27.5154,27.5426,0.0854255,100
18,10,280,4.77142,27.5154,27.5268,0.0631612,100
18,10,300,5.14302,27.5154,27.5174,0.0201285,100
18,10,320,5.45565,27.5154,27.523,0.0453074,100
18,10,340,5.81973,27.5154,27.5268,0.0587629,100
18,10,360,6.12227,27.5154,27.5232,0.0472234,100
18,10,380,6.45999,27.5154,27.5154,4.23656e-14,100
18,10,400,6.85745,27.5154,27.5174,0.0201285,100
18,10,420,7.14575,27.5154,27.5174,0.0201285,100
18,10,440,7.44826,27.5154,27.5174,0.0201285,100
18,10,460,7.80969,27.5154,27.5194,0.0283219,100
18,10,480,8.14522,27.5154,27.5154,4.24347e-14,100
18,10,500,8.45661,27.5154,27.5174,0.0201285,100
18,10,520,8.79396,27.5154,27.5174,0.0201285,100
18,10,540,9.13171,27.5154,27.5154,4.26759e-14,100
18,10,560,9.47138,27.5154,27.5154,4.27102e-14,100
18,10,580,9.78555,27.5154,27.5154,4.24693e-14,100
18,10,600,10.1183,27.5154,27.5154,4.27446e-14,100
18,10,620,10.4484,27.5154,27.5154,4.26759e-14,100
18,10,640,10.7758,27.5154,27.5154,4.27446e-14,100
18,10,660,11.1063,27.5154,27.5154,4.27788e-14,100
18,10,680,11.4805,27.5154,27.5154,4.27446e-14,100
18,10,700,11.8144,27.5154,27.5154,4.28131e-14,100
18,10,720,12.0981,27.5154,27.5154,4.27446e-14,100
18,10,740,12.4953,27.5154,27.5154,4.27446e-14,100
18,10,760,12.7609,27.5154,27.5154,4.27788e-14,100
18,10,780,13.0939,27.5154,27.5154,4.28131e-14,100
18,10,800,13.4321,27.5154,27.5154,4.28131e-14,100
18,10,820,13.8381,27.5154,27.5154,4.27788e-14,100
18,10,840,14.0394,27.5154,27.5154,4.28473e-14,100
18,10,860,14.475,27.5154,27.5154,4.27788e-14,100
18,10,880,14.7806,27.5154,27.5154,4.28131e-14,100
18,10,900,15.0813,27.5154,27.5154,4.27446e-14,100
18,10,920,15.6146,27.5154,27.5154,4.28131e-14,100
18,10,940,15.7679,27.5154,27.5154,4.28131e-14,100
18,10,960,16.1318,27.5154,27.5154,4.28131e-14,100
18,10,980,16.4719,27.5154,27.5154,4.28131e-14,100
18,10,1000,16.8238,27.5154,27.5154,4.28473e-14,100
