P. Size,N Ants,N Iters,Exec T,Best f,Mean f,Sigma f,N Test
49,10,1,0.61859,3.12264,3.42937,0.149786,100
49,10,2,0.5667,3.12115,3.34999,0.110854,100
49,10,3,0.53221,3.00589,3.31302,0.103897,100
49,10,4,0.56906,2.92433,3.27619,0.117086,100
49,10,5,0.66394,3.02929,3.27207,0.0951345,100
49,10,6,0.76171,2.90249,3.23849,0.108946,100
49,10,7,0.84702,2.93102,3.22716,0.107274,100
49,10,8,0.94828,2.96329,3.22161,0.0971815,100
49,10,9,1.03877,2.9516,3.23919,0.0820176,100
49,10,10,1.13049,2.98568,3.20201,0.0914526,100
49,10,11,1.22538,2.90388,3.19754,0.0967983,100
49,10,12,1.30691,2.98568,3.19601,0.0860681,100
49,10,13,1.41373,2.98571,3.19323,0.0875968,100
49,10,14,1.50534,2.91889,3.18928,0.0851264,100
49,10,15,1.58753,2.96425,3.19254,0.0831699,100
49,10,16,1.68736,2.94291,3.16803,0.0862987,100
49,10,17,1.785,2.94234,3.16513,0.0777322,100
49,10,18,1.87237,2.9445,3.1624,0.08348,100
49,10,19,1.95935,2.97176,3.15204,0.0808253,100
49,10,20,2.0486,2.92215,3.15444,0.0839153,100
49,10,40,3.88073,2.91928,3.11642,0.080299,100
49,10,60,5.73018,2.92647,3.07661,0.0694144,100
49,10,80,7.53105,2.8552,3.06911,0.0688496,100
49,10,100,9.35981,2.87183,3.05666,0.0609907,100
49,10,120,11.1946,2.89474,3.04327,0.0657468,100
49,10,140,13.0111,2.87668,3.03525,0.058604,100
49,10,160,14.8363,2.86146,3.02725,0.0623151,100
49,10,180,16.695,2.86003,3.03133,0.0529552,100
49,10,200,18.5221,2.88642,3.01453,0.0592879,100
49,10,220,20.3355,2.84531,3.0268,0.0542757,100
49,10,240,22.1252,2.80999,3.0129,0.0585263,100
49,10,260,24.0097,2.85802,3.01116,0.0565239,100
49,10,280,25.7998,2.815,3.00135,0.0539298,100
49,10,300,27.9904,2.85161,2.99876,0.0461975,100
49,10,320,29.2792,2.85299,3.00876,0.0498356,100
49,10,340,31.1753,2.85457,3.00172,0.0415164,100
49,10,360,33.1774,2.79504,2.99302,0.0572565,100
49,10,380,34.7331,2.87511,2.99118,0.0495392,100
49,10,400,36.7365,2.85883,2.98953,0.0460526,100
49,10,420,38.1821,2.80309,2.99161,0.0522587,100
49,10,440,40.0297,2.86069,2.98795,0.0463683,100
49,10,460,41.7374,2.84627,2.99405,0.052957,100
49,10,480,43.6536,2.83998,2.9875,0.0539092,100
49,10,500,45.3821,2.80789,2.98278,0.0566938,100
49,10,520,47.9623,2.81946,2.9933,0.0476843,100
49,10,540,49.2316,2.83623,2.97726,0.0467557,100
49,10,560,50.8995,2.83507,2.9773,0.0450522,100
49,10,580,53.1689,2.80445,2.97786,0.0520913,100
49,10,600,54.9685,2.88549,2.98118,0.0407916,100
49,10,620,56.6367,2.8447,2.96673,0.0467559,100
49,10,640,58.9499,2.86274,2.98149,0.0426945,100
49,10,660,60.4234,2.88057,2.97133,0.0404389,100
49,10,680,62.054,2.82723,2.97143,0.0474756,100
49,10,700,63.347,2.76613,2.9741,0.0470486,100
49,10,720,66.7238,2.86798,2.97479,0.0454065,100
49,10,740,68.2334,2.83886,2.96812,0.0458371,100
49,10,760,69.3961,2.79842,2.96414,0.054145,100
49,10,780,71.3126,2.84448,2.96661,0.0426656,100
49,10,800,73.0152,2.8079,2.95715,0.0508195,100
49,10,820,74.8326,2.83652,2.96326,0.0528281,100
49,10,840,76.3773,2.8363,2.95368,0.0498861,100
49,10,860,78.3196,2.83942,2.95128,0.0466769,100
49,10,880,80.2121,2.83369,2.95344,0.0471721,100
49,10,900,81.982,2.84674,2.96066,0.0436111,100
49,10,920,83.9089,2.84519,2.95677,0.042057,100
49,10,940,85.7665,2.83816,2.95648,0.0418461,100
49,10,960,87.3953,2.83178,2.95638,0.0436514,100
49,10,980,89.2243,2.82667,2.965,0.0441304,100
49,10,1000,90.8404,2.81422,2.95466,0.0448108,100
