N Ants,N Iters,Exec T,Best f,Mean f,Sigma f,N Test
18,1,0.14293,27.5154,30.0432,1.08119,100
18,2,0.16926,27.7166,29.456,0.849229,100
18,3,0.19988,27.5154,29.016,0.794402,100
18,4,0.22657,27.5154,28.8711,0.755144,100
18,5,0.21368,27.5154,28.8075,0.734932,100
18,6,0.25376,27.5154,28.6699,0.666623,100
18,7,0.27445,27.5154,28.5431,0.634628,100
18,8,0.30516,27.5154,28.4486,0.620136,100
18,9,0.34285,27.5154,28.3521,0.610274,100
18,10,0.37506,27.5154,28.3885,0.585093,100
18,11,0.4057,27.5154,28.2415,0.623609,100
18,12,0.4343,27.5154,28.381,0.592906,100
18,13,0.46785,27.5154,28.2224,0.573324,100
18,14,0.49427,27.5154,28.2215,0.518185,100
18,15,0.52804,27.5154,28.1401,0.546219,100
18,16,0.56052,27.5154,28.0418,0.508018,100
18,17,0.59039,27.5154,27.9991,0.470814,100
18,18,0.61542,27.5154,28.0847,0.486806,100
18,19,0.65457,27.5154,27.9917,0.474757,100
18,20,0.68259,27.5154,28.0715,0.497748,100
18,21,0.71525,27.5154,27.9112,0.421973,100
18,22,0.73622,27.5154,27.9614,0.463899,100
18,23,0.76549,27.5154,27.9961,0.438877,100
18,24,0.7976,27.5154,27.8725,0.411013,100
18,25,0.83355,27.5154,27.8575,0.382692,100
18,26,0.8598,27.5154,27.8163,0.38565,100
18,27,0.889,27.5154,27.8213,0.370342,100
18,28,0.92285,27.5154,27.7977,0.338513,100
18,29,0.95184,27.5154,27.7597,0.323451,100
18,30,0.97785,27.5154,27.8642,0.368693,100
18,31,1.01665,27.5154,27.8044,0.352372,100
18,32,1.04361,27.5154,27.7762,0.347306,100
18,33,1.07554,27.5154,27.7692,0.320147,100
18,34,1.10896,27.5154,27.7207,0.336211,100
18,35,1.13923,27.5154,27.7638,0.303054,100
18,36,1.16791,27.5154,27.7237,0.294704,100
18,37,1.20069,27.5154,27.8492,0.39577,100
18,38,1.23086,27.5154,27.7605,0.317276,100
18,39,1.26276,27.5154,27.7921,0.366716,100
18,40,1.3031,27.5154,27.7927,0.36276,100
18,41,1.32248,27.5154,27.7392,0.265147,100
18,42,1.36085,27.5154,27.7271,0.329589,100
18,43,1.39001,27.5154,27.7214,0.29721,100
18,44,1.41789,27.5154,27.7248,0.295027,100
18,45,1.4337,27.5154,27.7349,0.317544,100
18,46,1.46462,27.5154,27.6521,0.234484,100
18,47,1.50008,27.5154,27.7071,0.255079,100
18,48,1.53319,27.5154,27.7142,0.289485,100
18,49,1.55444,27.5154,27.6707,0.228395,100
18,50,1.59402,27.5154,27.6517,0.218073,100
18,51,1.62392,27.5154,27.6838,0.264181,100
18,52,1.65898,27.5154,27.639,0.224133,100
18,53,1.69442,27.5154,27.6986,0.261934,100
18,54,1.71737,27.5154,27.6119,0.172253,100
18,55,1.7469,27.5154,27.6911,0.255603,100
18,56,1.78448,27.5154,27.6429,0.190659,100
18,57,1.79743,27.5154,27.6327,0.179533,100
18,58,1.84737,27.5154,27.6275,0.205557,100
18,59,1.88179,27.5154,27.6447,0.201646,100
18,60,1.89482,27.5154,27.6231,0.216053,100
18,61,1.92568,27.5154,27.6637,0.253199,100
18,62,1.95262,27.5154,27.5974,0.188166,100
18,63,1.97558,27.5154,27.6357,0.216615,100
18,64,2.03336,27.5154,27.6291,0.199136,100
18,65,2.04326,27.5154,27.6325,0.192164,100
18,66,2.0738,27.5154,27.5779,0.142244,100
18,67,2.10772,27.5154,27.5866,0.163691,100
18,68,2.13686,27.5154,27.5986,0.15927,100
18,69,2.16364,27.5154,27.6357,0.194629,100
18,70,2.20406,27.5154,27.6076,0.170718,100
18,71,2.23681,27.5154,27.6023,0.161648,100
18,72,2.26862,27.5154,27.6157,0.192204,100
18,73,2.30259,27.5154,27.5871,0.143447,100
18,74,2.32953,27.5154,27.6242,0.19014,100
18,75,2.35284,27.5154,27.5836,0.143259,100
18,76,2.38916,27.5154,27.5563,0.103496,100
18,77,2.41536,27.5154,27.6019,0.163093,100
18,78,2.45858,27.5154,27.6217,0.211148,100
18,79,2.47855,27.5154,27.5975,0.196687,100
18,80,2.50898,27.5154,27.5587,0.107465,100
18,81,2.53663,27.5154,27.6135,0.193201,100
18,82,2.55865,27.5154,27.5795,0.143014,100
18,83,2.59276,27.5154,27.5914,0.141805,100
18,84,2.61824,27.5154,27.5855,0.160598,100
18,85,2.65059,27.5154,27.5749,0.124244,100
18,86,2.68251,27.5154,27.5462,0.0837166,100
18,87,2.71145,27.5154,27.5695,0.137954,100
18,88,2.74647,27.5154,27.5721,0.12897,100
18,89,2.77478,27.5154,27.5925,0.167542,100
18,90,2.81157,27.5154,27.5975,0.153657,100
18,91,2.84086,27.5154,27.5601,0.107057,100
18,92,2.86552,27.5154,27.5533,0.104907,100
18,93,2.89896,27.5154,27.5744,0.126351,100
18,94,2.91616,27.5154,27.5556,0.106854,100
18,95,2.95734,27.5154,27.5663,0.134219,100
18,96,2.9959,27.5154,27.5632,0.123718,100
18,97,3.0315,27.5154,27.5603,0.119174,100
18,98,3.04085,27.5154,27.572,0.13133,100
18,99,3.07646,27.5154,27.5659,0.141654,100
18,100,3.10289,27.5154,27.5706,0.13122,100
