N Ants,N Iters,Exec T,Best f,Mean f,Sigma f,N Test
1,10,0.06529,28.4853,31.6031,1.68641,100
2,10,0.08311,27.5154,30.2297,1.16866,100
3,10,0.10722,27.5154,29.5993,0.932507,100
4,10,0.12268,27.5154,29.5506,0.803841,100
5,10,0.14545,27.5154,29.1765,0.854841,100
6,10,0.16031,27.5154,29.098,0.756379,100
7,10,0.18489,27.5154,28.9327,0.733375,100
8,10,0.20112,27.5154,28.8947,0.707495,100
9,10,0.21919,27.5154,28.7803,0.677964,100
10,10,0.24151,27.5154,28.6308,0.643434,100
11,10,0.2549,27.5154,28.6681,0.676616,100
12,10,0.26935,27.5154,28.5522,0.646111,100
13,10,0.28897,27.5154,28.5387,0.696533,100
14,10,0.30585,27.5154,28.4901,0.714163,100
15,10,0.32141,27.5154,28.5197,0.627342,100
16,10,0.33455,27.5154,28.4888,0.621218,100
17,10,0.36434,27.5154,28.3252,0.575957,100
18,10,0.37326,27.5154,28.2802,0.591345,100
19,10,0.38997,27.5154,28.3524,0.621032,100
20,10,0.40586,27.5154,28.3343,0.620855,100
40,10,0.75133,27.5154,27.924,0.453771,100
60,10,1.07803,27.5154,27.7512,0.314663,100
80,10,1.41391,27.5154,27.7183,0.258201,100
100,10,1.75268,27.5154,27.6425,0.209595,100
120,10,2.06978,27.5154,27.6232,0.185836,100
140,10,2.39549,27.5154,27.5809,0.131743,100
160,10,2.73982,27.5154,27.5863,0.157165,100
180,10,3.07525,27.5154,27.5731,0.127997,100
200,10,3.40861,27.5154,27.5538,0.102454,100
220,10,3.74021,27.5154,27.5482,0.098103,100
240,10,4.05952,27.5154,27.5364,0.0787088,100
260,10,4.39448,27.5154,27.5494,0.106755,100
280,10,4.70927,27.5154,27.533,0.0619848,100
300,10,5.03966,27.5154,27.5214,0.0345097,100
320,10,5.39206,27.5154,27.5252,0.0510226,100
340,10,5.68174,27.5154,27.5194,0.0283219,100
360,10,6.02664,27.5154,27.5194,0.0283219,100
380,10,6.34902,27.5154,27.5174,0.0201285,100
400,10,6.68285,27.5154,27.5194,0.0283219,100
420,10,7.00626,27.5154,27.5174,0.0201285,100
440,10,7.3388,27.5154,27.5154,4.25038e-14,100
460,10,7.65131,27.5154,27.5174,0.0201285,100
480,10,7.99525,27.5154,27.5154,4.24693e-14,100
500,10,8.32393,27.5154,27.5154,4.25727e-14,100
520,10,8.66149,27.5154,27.5174,0.0201285,100
540,10,8.94832,27.5154,27.5154,4.27102e-14,100
560,10,9.28493,27.5154,27.5154,4.25727e-14,100
580,10,9.65372,27.5154,27.5154,4.26071e-14,100
600,10,9.95972,27.5154,27.5154,4.26071e-14,100
620,10,10.2319,27.5154,27.5154,4.26071e-14,100
640,10,10.5578,27.5154,27.5154,4.24002e-14,100
660,10,10.9136,27.5154,27.5154,4.27102e-14,100
680,10,11.2719,27.5154,27.5154,4.26071e-14,100
700,10,11.584,27.5154,27.5154,4.25727e-14,100
720,10,11.8976,27.5154,27.5154,4.27102e-14,100
740,10,12.2536,27.5154,27.5154,4.28131e-14,100
760,10,12.5619,27.5154,27.5154,4.27102e-14,100
780,10,12.886,27.5154,27.5154,4.28131e-14,100
800,10,13.1702,27.5154,27.5154,4.27446e-14,100
820,10,13.5556,27.5154,27.5154,4.26759e-14,100
840,10,13.8789,27.5154,27.5154,4.27446e-14,100
860,10,14.2439,27.5154,27.5154,4.27788e-14,100
880,10,14.5329,27.5154,27.5154,4.27102e-14,100
900,10,14.8692,27.5154,27.5154,4.27788e-14,100
920,10,15.1508,27.5154,27.5154,4.27788e-14,100
940,10,15.4745,27.5154,27.5154,4.27102e-14,100
960,10,15.8169,27.5154,27.5154,4.28473e-14,100
980,10,16.263,27.5154,27.5154,4.28131e-14,100
1000,10,16.5709,27.5154,27.5154,4.27788e-14,100
