N Ants,N Iters,Exec T,Best f,Mean f,Sigma f,N Test
5,1,0.11671,27.5154,31.4124,1.83989,100
5,2,0.11828,27.8973,30.9572,1.37101,100
5,3,0.12239,27.5154,30.106,1.27397,100
5,4,0.12775,27.5154,29.9214,1.13649,100
5,5,0.1322,27.5154,29.8629,1.02908,100
5,6,0.13673,27.5154,29.5641,0.976056,100
5,7,0.14148,27.5154,29.4315,0.934852,100
5,8,0.14334,27.5154,29.1782,0.841853,100
5,9,0.14516,27.5154,29.1115,0.889739,100
5,10,0.14819,27.5154,29.3158,0.899993,100
5,11,0.15014,27.5154,29.0483,0.870391,100
5,12,0.1578,27.5154,29.0798,0.760321,100
5,13,0.17638,27.5154,29.0738,0.85028,100
5,14,0.17411,27.5154,28.9381,0.811577,100
5,15,0.18872,27.5154,28.9613,0.715705,100
5,16,0.20223,27.5154,28.8098,0.777992,100
5,17,0.22002,27.5154,28.897,0.761663,100
5,18,0.21868,27.5154,28.6804,0.681854,100
5,19,0.23397,27.5154,28.7043,0.772782,100
5,20,0.24147,27.5154,28.874,0.68144,100
5,21,0.25217,27.5154,28.8274,0.732551,100
5,22,0.2525,27.5154,28.5678,0.678143,100
5,23,0.26966,27.5154,28.7227,0.689905,100
5,24,0.28283,27.5154,28.5658,0.730758,100
5,25,0.28755,27.5154,28.7021,0.725755,100
5,26,0.29238,27.5154,28.6694,0.612769,100
5,27,0.30373,27.5154,28.5729,0.661709,100
5,28,0.32048,27.5154,28.3953,0.637374,100
5,29,0.32285,27.5154,28.4756,0.643956,100
5,30,0.33451,27.5154,28.4851,0.687547,100
5,31,0.34353,27.5154,28.4865,0.624307,100
5,32,0.35017,27.5154,28.3931,0.678492,100
5,33,0.35819,27.5154,28.4087,0.626326,100
5,34,0.36717,27.5154,28.3435,0.649097,100
5,35,0.37544,27.5154,28.2973,0.645137,100
5,36,0.38292,27.5154,28.4488,0.643683,100
5,37,0.39654,27.5154,28.3039,0.660294,100
5,38,0.40196,27.5154,28.3325,0.655352,100
5,39,0.41022,27.5154,28.3888,0.621897,100
5,40,0.42257,27.5154,28.3232,0.60629,100
5,41,0.42584,27.5154,28.2784,0.61127,100
5,42,0.44051,27.5154,28.2922,0.637811,100
5,43,0.45018,27.5154,28.278,0.593049,100
5,44,0.45418,27.5154,28.2588,0.567063,100
5,45,0.46844,27.5154,28.2835,0.556663,100
5,46,0.47545,27.5154,28.2155,0.585434,100
5,47,0.48275,27.5154,28.2684,0.584854,100
5,48,0.49082,27.5154,28.1293,0.507424,100
5,49,0.50189,27.5154,28.2363,0.615448,100
5,50,0.51628,27.5154,28.2477,0.581386,100
5,51,0.51532,27.5154,28.1467,0.540987,100
5,52,0.53084,27.5154,28.1759,0.512485,100
5,53,0.53532,27.5154,28.1756,0.579375,100
5,54,0.54237,27.5154,28.1931,0.581126,100
5,55,0.55325,27.5154,28.1344,0.559945,100
5,56,0.56709,27.5154,28.2757,0.577475,100
5,57,0.56938,27.5154,28.2025,0.530292,100
5,58,0.58017,27.5154,28.1001,0.531856,100
5,59,0.58429,27.5154,28.0695,0.513872,100
5,60,0.5938,27.5154,28.094,0.552053,100
5,61,0.60521,27.5154,28.1089,0.480489,100
5,62,0.61952,27.5154,28.0435,0.459942,100
5,63,0.6222,27.5154,28.0901,0.521324,100
5,64,0.63365,27.5154,28.0882,0.543821,100
5,65,0.63758,27.5154,28.0236,0.573297,100
5,66,0.65358,27.5154,28.1204,0.513278,100
5,67,0.6596,27.5154,28.0854,0.508645,100
5,68,0.68323,27.5154,28.0719,0.528672,100
5,69,0.67398,27.5154,28.0308,0.514704,100
5,70,0.68691,27.5154,28.0873,0.482114,100
5,71,0.69894,27.5154,27.9578,0.478519,100
5,72,0.71117,27.5154,27.9719,0.503339,100
5,73,0.71551,27.5154,28.1322,0.514236,100
5,74,0.71993,27.5154,27.9811,0.480692,100
5,75,0.72629,27.5154,28.0311,0.50558,100
5,76,0.74192,27.5154,27.9487,0.470948,100
5,77,0.7452,27.5154,27.948,0.459152,100
5,78,0.75868,27.5154,27.9234,0.453983,100
5,79,0.76087,27.5154,27.9443,0.497204,100
5,80,0.77318,27.5154,28.0166,0.536595,100
5,81,0.78183,27.5154,27.9204,0.46479,100
5,82,0.79275,27.5154,27.8951,0.441848,100
5,83,0.79999,27.5154,27.8831,0.46116,100
5,84,0.80739,27.5154,27.9269,0.490297,100
5,85,0.81444,27.5154,27.9185,0.44395,100
5,86,0.8231,27.5154,27.903,0.446168,100
5,87,0.83402,27.5154,27.8814,0.451341,100
5,88,0.84348,27.5154,27.9213,0.448264,100
5,89,0.84967,27.5154,27.9706,0.457594,100
5,90,0.86141,27.5154,27.8612,0.407628,100
5,91,0.86512,27.5154,27.9263,0.459008,100
5,92,0.87942,27.5154,27.8779,0.41181,100
5,93,0.8812,27.5154,27.9049,0.412926,100
5,94,0.89361,27.5154,27.8866,0.413075,100
5,95,0.91878,27.5154,28.0031,0.481639,100
5,96,0.9133,27.5154,27.8349,0.416225,100
5,97,0.92118,27.5154,27.8874,0.426768,100
5,98,0.93208,27.5154,27.7891,0.376952,100
5,99,0.93785,27.5154,27.8072,0.362987,100
5,100,0.95271,27.5154,27.8849,0.443722,100
