N Ants,N Iters,Exec T,Best f,Mean f,Sigma f,N Test
1,10,0.07106,28.4853,31.4576,1.58697,100
2,10,0.08469,27.8731,30.163,1.24067,100
3,10,0.10798,27.5154,29.6237,0.895969,100
4,10,0.12242,27.5154,29.2954,0.780869,100
5,10,0.14604,27.5154,28.9943,0.787764,100
6,10,0.15358,27.5154,28.979,0.780613,100
7,10,0.18013,27.5154,28.9581,0.729853,100
8,10,0.20263,27.5154,28.7844,0.750146,100
9,10,0.21167,27.5154,28.7671,0.691788,100
10,10,0.23745,27.5154,28.7544,0.687944,100
11,10,0.25095,27.5154,28.61,0.684192,100
12,10,0.27326,27.5154,28.5833,0.694252,100
13,10,0.29024,27.5154,28.6243,0.604942,100
14,10,0.30278,27.5154,28.4736,0.66361,100
15,10,0.32234,27.5154,28.3993,0.616173,100
16,10,0.33621,27.5154,28.3346,0.631131,100
17,10,0.35608,27.5154,28.3197,0.616625,100
18,10,0.37661,27.5154,28.3015,0.573974,100
19,10,0.39171,27.5154,28.3582,0.625061,100
20,10,0.40726,27.5154,28.2863,0.617993,100
40,10,0.74326,27.5154,28.0191,0.502717,100
60,10,1.06857,27.5154,27.7613,0.324782,100
80,10,1.40862,27.5154,27.7023,0.272478,100
100,10,1.73382,27.5154,27.6715,0.203568,100
150,10,2.56257,27.5154,27.5762,0.147577,100
200,10,3.39306,27.5154,27.5498,0.10459,100
250,10,4.22159,27.5154,27.5433,0.0842378,100
300,10,5.04019,27.5154,27.5194,0.0283219,100
350,10,5.93898,27.5154,27.5194,0.0283219,100
400,10,6.85613,27.5154,27.523,0.0453074,100
450,10,7.68964,27.5154,27.5194,0.0283219,100
500,10,8.40252,27.5154,27.5154,4.25038e-14,100
550,10,9.15579,27.5154,27.5174,0.0201285,100
600,10,10.0806,27.5154,27.5154,4.24347e-14,100
650,10,11.0719,27.5154,27.5154,4.26415e-14,100
700,10,11.8445,27.5154,27.5154,4.26415e-14,100
750,10,12.5642,27.5154,27.5154,4.26415e-14,100
800,10,13.2711,27.5154,27.5154,4.27102e-14,100
850,10,13.9843,27.5154,27.5154,4.28473e-14,100
900,10,14.901,27.5154,27.5154,4.27446e-14,100
950,10,15.7849,27.5154,27.5154,4.27788e-14,100
1000,10,16.405,27.5154,27.5154,4.28131e-14,100
