'population size','tmax','program length','pc','pm','average t','max fitness','average fitness','min fitness','std','number of best solutions'
100,100,6,0.5,0.1,168.861,-1,-1.16,-3,0.542586,0
100,100,7,0.5,0.1,194.751,-1,-1.1,-3,0.43589,0
100,100,8,0.5,0.1,487.134,-1,-1.02,-3,0.198997,0
100,100,9,0.5,0.1,579.336,-1,-1.01,-2,0.0994987,0
100,100,10,0.5,0.1,213.38,0,-0.94,-2,0.276405,7
100,100,11,0.5,0.1,384.124,0,-0.92,-2,0.337046,10
100,100,12,0.5,0.1,233.032,0,-0.78,-1,0.414246,22
100,100,13,0.5,0.1,331.208,0,-0.82,-2,0.40939,19
100,100,14,0.5,0.1,261.608,0,-0.75,-2,0.455522,26
100,100,15,0.5,0.1,412.797,0,-0.72,-2,0.491528,30
100,100,16,0.5,0.1,485.639,0,-0.73,-1,0.443959,27
100,100,17,0.5,0.1,501.937,0,-0.64,-2,0.52,38
100,100,18,0.5,0.1,420.494,0,-0.58,-2,0.532541,44
100,100,19,0.5,0.1,591.34,0,-0.56,-2,0.51614,45
100,100,20,0.5,0.1,548.753,0,-0.51,-2,0.519519,50
