'population size','tmax','program length','pc','pm','average t','max fitness','average fitness','min fitness','std','number of best solutions'
30,100,13,0.6,0,101.75,-1,-9.38,-147,22.0049,0
30,100,13,0.6,0.1,225.567,0,-1.14,-3,0.648383,11
30,100,13,0.6,0.2,273.796,-1,-1.47,-3,0.670149,0
30,100,13,0.6,0.3,217.691,0,-1.92,-3,0.879545,1
30,100,13,0.6,0.4,106.586,0,-2.31,-3,0.796178,1
30,100,13,0.6,0.5,98.2058,-1,-2.59,-3,0.69419,0
30,100,13,0.6,0.6,173.851,-1,-2.7,-3,0.608276,0
30,100,13,0.6,0.7,105.357,-1,-2.67,-4,0.707884,0
30,100,13,0.6,0.8,87.7271,-1,-2.79,-4,0.534696,0
30,100,13,0.6,0.9,79.0162,-1,-2.82,-5,0.712461,0
30,100,13,0.6,1,91.0134,-1,-2.86,-4,0.648383,0
